Product ID,Country,Date,isVerified,Ratings,Reviews
B09G9D8KRQ,India,2/11/2021,TRUE,5,The midnight colour is little bit like navy blue and besides all the things are good and also I like the new cinematic mode of it.It’s good
B09G9D8KRQ,United Arab Emirates,3/12/2021,TRUE,2,Product looks good and super fast delivery but no Facetime.Please dont write such things to dodge customers as your overall ratings get impacted. I dont use Facetime and thats why it is not bothering me.
B09G9D8KRQ,India,6/11/2021,TRUE,3,"Apple Marketing has done quite a good job month after month to keep people on their toes with their new launches where there is nothing great about this phone. I have been on Android for almost inception of phones and switching to iPhone is just a pain.1. No guide or help to transfer your critical data(Move to iOS doesnt work at all with high amount of data transfer.If you want to buy, go to brick and motor shop and get your data transfer then and there.2. Over hyped phone, nothing great i have found in the phone. May be i will find it better.3. Total stuck with ecosystem.4. At 90K they don't provide charger and are selling the same as extra. Total cheap strategy to earn more and promote their magsafe.I am not a happy customer till now! In a world where we talk about openness and open for integration, apple gives you a kind of black box... Boo to Apple!"
B09G9D8KRQ,India,6/11/2021,TRUE,3,"Apple Marketing has done quite a good job month after month to keep people on their toes with their new launches where there is nothing great about this phone. I have been on Android for almost inception of phones and switching to iPhone is just a pain.1. No guide or help to transfer your critical data(Move to iOS doesnt work at all with high amount of data transfer.If you want to buy, go to brick and motor shop and get your data transfer then and there.2. Over hyped phone, nothing great i have found in the phone. May be i will find it better.3. Total stuck with ecosystem.4. At 90K they don't provide charger and are selling the same as extra. Total cheap strategy to earn more and promote their magsafe.I am not a happy customer till now! In a world where we talk about openness and open for integration, apple gives you a kind of black box... Boo to Apple!"
B09G9D8KRQ,United Arab Emirates,7/10/2021,TRUE,5,Just as described. FaceTime included.
B09G9D8KRQ,India,8/10/2021,TRUE,5,Good one n nice color…go for it camera feature has modified… u can go only u r a apple lover otherwise go for 12
B09G9D8KRQ,India,8/11/2021,FALSE,1,"SLIGHT speed difference, more batter backup for more than 12 Not worth it Go for 12 instead.. No difference at all"
B09G9D8KRQ,India,9/10/2021,TRUE,5,"After iPhone 4, I am going back to the Apple ecosystem, by purchasing iPhone 13. In the meantime I have used several Android and Windows phones. This is the best, though at a much higher cost. The battery life is a surprise, with a good life of over almost two days, with normal use."
B09G9D8KRQ,United Arab Emirates,9/12/2021,TRUE,5,"Quick delivery and iPhone 13 is as good as I expected, it was really a great update in the processing speed and photography feature."
B09G9D8KRQ,India,10/11/2021,TRUE,5,My first iphone and there is nothing better…Go for it..Absolutely Fabulous
B09G9D8KRQ,India,10/11/2021,TRUE,1,"Phone, Email & SMS management extremely unfriendly, primitive and restrictiveUnnecessary animation on each actionVery bad user experience"
B09G9D8KRQ,India,10/11/2021,TRUE,5,My first iphone and there is nothing better…Go for it..Absolutely Fabulous
B09G9D8KRQ,India,10/12/2021,TRUE,5,Amazing phone
B09G9D8KRQ,United Arab Emirates,10/12/2021,FALSE,4,not worth it though
B09G9D8KRQ,India,10/12/2021,TRUE,5,Amazing phone
B09G9D8KRQ,India,11/12/2021,TRUE,5,This looks professional colour and perfect👍. Nice product.
